country,landmass,zone,area,population,language,bars,stripes,colors,r,g,b,gold,white,black,mainhue,circles,crosses,class
Kenya,4,1,583,17,10,0,5,4,1,1,0,0,1,1,red,1,0,ethnic
Kiribati,6,1,0,0,1,0,0,4,1,0,1,1,1,0,red,0,0,christian
Kuwait,5,1,18,2,8,0,3,4,1,1,0,0,1,1,green,0,0,muslim
Laos,5,1,236,3,10,0,3,3,1,0,1,0,1,0,red,1,0,marxist
Lebanon,5,1,10,3,8,0,2,4,1,1,0,0,1,0,red,0,0,muslim
Lesotho,4,2,30,1,10,2,0,4,1,1,1,0,1,0,blue,0,0,ethnic
Liberia,4,4,111,1,10,0,11,3,1,0,1,0,1,0,red,0,0,ethnic
Libya,4,1,1760,3,8,0,0,1,0,1,0,0,0,0,green,0,0,muslim
Liechtenstein,3,1,0,0,4,0,2,3,1,0,1,1,0,0,red,0,0,catholic
Luxembourg,3,1,3,0,4,0,3,3,1,0,1,0,1,0,red,0,0,catholic
Malagasy,4,2,587,9,10,1,2,3,1,1,0,0,1,0,red,0,0,christian
Malawi,4,2,118,6,10,0,3,3,1,1,0,0,0,1,red,0,0,ethnic
Malaysia,5,1,333,13,10,0,14,4,1,0,1,1,1,0,red,0,0,muslim
Maldive-Islands,5,1,0,0,10,0,0,3,1,1,0,0,1,0,red,0,0,muslim
Mali,4,4,1240,7,3,3,0,3,1,1,0,1,0,0,gold,0,0,muslim
Malta,3,1,0,0,10,2,0,3,1,0,0,0,1,1,red,0,1,catholic
Marianas,6,1,0,0,10,0,0,3,0,0,1,0,1,0,blue,0,0,christian
Mauritania,4,4,1031,2,8,0,0,2,0,1,0,1,0,0,green,0,0,muslim
Mauritius,4,2,2,1,1,0,4,4,1,1,1,1,0,0,red,0,0,hindu
Mexico,1,4,1973,77,2,3,0,4,1,1,0,0,1,0,green,0,0,catholic
Micronesia,6,1,1,0,10,0,0,2,0,0,1,0,1,0,blue,0,0,christian
Monaco,3,1,0,0,3,0,2,2,1,0,0,0,1,0,red,0,0,catholic
Mongolia,5,1,1566,2,10,3,0,3,1,0,1,1,0,0,red,2,0,marxist
Montserrat,1,4,0,0,1,0,0,7,1,1,1,1,1,1,blue,0,2,christian
Morocco,4,4,447,20,8,0,0,2,1,1,0,0,0,0,red,0,0,muslim
Mozambique,4,2,783,12,10,0,5,5,1,1,0,1,1,1,gold,0,0,ethnic
Nauru,6,2,0,0,10,0,3,3,0,0,1,1,1,0,blue,0,0,christian
Nepal,5,1,140,16,10,0,0,3,0,0,1,0,1,0,brown,0,0,hindu
Netherlands,3,1,41,14,6,0,3,3,1,0,1,0,1,0,red,0,0,christian
Netherlands-Antilles,1,4,0,0,6,0,1,3,1,0,1,0,1,0,white,0,0,christian
New-Zealand,6,2,268,2,1,0,0,3,1,0,1,0,1,0,blue,0,1,christian
Nicaragua,1,4,128,3,2,0,3,2,0,0,1,0,1,0,blue,0,0,catholic
Niger,4,1,1267,5,3,0,3,3,0,1,0,0,1,0,orange,1,0,muslim
Nigeria,4,1,925,56,10,3,0,2,0,1,0,0,1,0,green,0,0,muslim
Niue,6,3,0,0,1,0,0,4,1,0,1,1,1,0,gold,1,1,christian
North-Korea,5,1,121,18,10,0,5,3,1,0,1,0,1,0,blue,1,0,marxist
North-Yemen,5,1,195,9,8,0,3,4,1,1,0,0,1,1,red,0,0,muslim
Norway,3,1,324,4,6,0,0,3,1,0,1,0,1,0,red,0,1,christian
Oman,5,1,212,1,8,0,2,3,1,1,0,0,1,0,red,0,0,muslim
Pakistan,5,1,804,84,6,1,0,2,0,1,0,0,1,0,green,0,0,muslim
Panama,2,4,76,2,2,0,0,3,1,0,1,0,1,0,red,0,0,catholic
Papua-New-Guinea,6,2,463,3,1,0,0,4,1,0,0,1,1,1,black,0,0,ethnic
Parguay,2,3,407,3,2,0,3,6,1,1,1,1,1,1,red,1,0,catholic
Peru,2,3,1285,14,2,3,0,2,1,0,0,0,1,0,red,0,0,catholic
Philippines,6,1,300,48,10,0,0,4,1,0,1,1,1,0,blue,0,0,catholic
Poland,3,1,313,36,5,0,2,2,1,0,0,0,1,0,white,0,0,marxist
Portugal,3,4,92,10,6,0,0,5,1,1,1,1,1,0,red,1,0,catholic
Puerto-Rico,1,4,9,3,2,0,5,3,1,0,1,0,1,0,red,0,0,catholic
Qatar,5,1,11,0,8,0,0,2,0,0,0,0,1,0,brown,0,0,muslim
Romania,3,1,237,22,6,3,0,7,1,1,1,1,1,0,red,0,0,marxist
Rwanda,4,2,26,5,10,3,0,4,1,1,0,1,0,1,red,0,0,ethnic
San-Marino,3,1,0,0,6,0,2,2,0,0,1,0,1,0,white,0,0,catholic
Sao-Tome,4,1,0,0,6,0,3,4,1,1,0,1,0,1,green,0,0,catholic
Saudi-Arabia,5,1,2150,9,8,0,0,2,0,1,0,0,1,0,green,0,0,muslim
Senegal,4,4,196,6,3,3,0,3,1,1,0,1,0,0,green,0,0,muslim
Seychelles,4,2,0,0,1,0,0,3,1,1,0,0,1,0,red,0,0,christian
Sierra-Leone,4,4,72,3,1,0,3,3,0,1,1,0,1,0,green,0,0,ethnic
Singapore,5,1,1,3,7,0,2,2,1,0,0,0,1,0,white,0,0,buddhist
Soloman-Islands,6,2,30,0,1,0,0,4,0,1,1,1,1,0,green,0,0,christian
Somalia,4,1,637,5,10,0,0,2,0,0,1,0,1,0,blue,0,0,muslim
South-Africa,4,2,1221,29,6,0,3,5,1,1,1,0,1,0,orange,0,1,christian
South-Korea,5,1,99,39,10,0,0,4,1,0,1,0,1,1,white,1,0,others
South-Yemen,5,1,288,2,8,0,3,4,1,0,1,0,1,1,red,0,0,muslim
Spain,3,4,505,38,2,0,3,2,1,0,0,1,0,0,red,0,0,catholic
Sri-Lanka,5,1,66,15,10,2,0,4,0,1,0,1,0,0,gold,0,0,buddhist
St-Helena,4,3,0,0,1,0,0,7,1,1,1,1,1,0,blue,0,1,christian
St-Kitts-Nevis,1,4,0,0,1,0,0,5,1,1,0,1,1,1,green,0,0,christian
St-Lucia,1,4,0,0,1,0,0,4,0,0,1,1,1,1,blue,0,0,christian
St-Vincent,1,4,0,0,1,5,0,4,0,1,1,1,1,0,green,0,0,christian
Sudan,4,1,2506,20,8,0,3,4,1,1,0,0,1,1,red,0,0,muslim
Surinam,2,4,63,0,6,0,5,4,1,1,0,1,1,0,red,0,0,christian
Swaziland,4,2,17,1,10,0,5,7,1,0,1,1,1,1,blue,0,0,christian
Sweden,3,1,450,8,6,0,0,2,0,0,1,1,0,0,blue,0,1,christian
Switzerland,3,1,41,6,4,0,0,2,1,0,0,0,1,0,red,0,1,christian
Syria,5,1,185,10,8,0,3,4,1,1,0,0,1,1,red,0,0,muslim
Taiwan,5,1,36,18,7,0,0,3,1,0,1,0,1,0,red,1,0,buddhist
Tanzania,4,2,945,18,10,0,0,4,0,1,1,1,0,1,green,0,0,ethnic
Thailand,5,1,514,49,10,0,5,3,1,0,1,0,1,0,red,0,0,buddhist
Togo,4,1,57,2,3,0,5,4,1,1,0,1,1,0,green,0,0,others
Tonga,6,2,1,0,10,0,0,2,1,0,0,0,1,0,red,0,1,christian
Trinidad-Tobago,2,4,5,1,1,0,0,3,1,0,0,0,1,1,red,0,0,christian
Tunisia,4,1,164,7,8,0,0,2,1,0,0,0,1,0,red,1,0,muslim
Turkey,5,1,781,45,9,0,0,2,1,0,0,0,1,0,red,0,0,muslim
Turks-Cocos-Islands,1,4,0,0,1,0,0,6,1,1,1,1,1,0,blue,0,1,christian
Tuvalu,6,2,0,0,1,0,0,5,1,0,1,1,1,0,blue,0,1,christian
UAE,5,1,84,1,8,1,3,4,1,1,0,0,1,1,green,0,0,muslim
Uganda,4,1,236,13,10,0,6,5,1,0,0,1,1,1,gold,1,0,ethnic
UK,3,4,245,56,1,0,0,3,1,0,1,0,1,0,red,0,1,christian
Uruguay,2,3,178,3,2,0,9,3,0,0,1,1,1,0,white,0,0,catholic
US-Virgin-Isles,1,4,0,0,1,0,0,6,1,1,1,1,1,0,white,0,0,christian
USA,1,4,9363,231,1,0,13,3,1,0,1,0,1,0,white,0,0,christian
USSR,5,1,22402,274,5,0,0,2,1,0,0,1,0,0,red,0,0,marxist
Vanuatu,6,2,15,0,6,0,0,4,1,1,0,1,0,1,red,0,0,christian
Vatican-City,3,1,0,0,6,2,0,4,1,0,0,1,1,1,gold,0,0,catholic
Venezuela,2,4,912,15,2,0,3,7,1,1,1,1,1,1,red,0,0,catholic
Vietnam,5,1,333,60,10,0,0,2,1,0,0,1,0,0,red,0,0,marxist
Western-Samoa,6,3,3,0,1,0,0,3,1,0,1,0,1,0,red,0,0,christian
Yugoslavia,3,1,256,22,6,0,3,4,1,0,1,1,1,0,red,0,0,marxist
Zaire,4,2,905,28,10,0,0,4,1,1,0,1,0,0,green,1,0,ethnic
Zambia,4,2,753,6,10,3,0,4,1,1,0,0,0,1,green,0,0,ethnic
Zimbabwe,4,2,391,8,10,0,7,5,1,1,0,1,1,1,green,0,0,ethnic
